kanji,grade
許,5
設,5
責,5
険,5
備,5
営,5
報,5
富,5
属,5
復,5
提,5
検,5
減,5
測,5
税,5
程,5
絶,5
統,5
証,5
評,5
賀,5
貸,5
貿,5
過,5
勢,5
幹,5
準,5
損,5
禁,5
罪,5
義,5
群,5
墓,5
夢,5
解,5
豊,5
資,5
鉱,5
預,5
飼,5
像,5
境,5
増,5
徳,5
慣,5
態,5
構,5
演,5
精,5
総,5
綿,5
製,5
複,5
適,5
酸,5
銭,5
銅,5
際,5
雑,5
領,5
導,5
敵,5
暴,5
潔,5
確,5
編,5
賛,5
質,5
興,5
衛,5
燃,5
築,5
輸,5
績,5
講,5
謝,5
織,5
職,5
額,5
識,5
護,5
亡,6
寸,6
己,6
干,6
仁,6
尺,6
片,6
冊,6
収,6
処,6
幼,6
庁,6
穴,6
危,6
后,6
灰,6
吸,6
存,6
宇,6
宅,6
机,6
至,6
否,6
我,6
系,6
卵,6
忘,6
孝,6
困,6
批,6
私,6
乱,6
垂,6
乳,6
供,6
並,6
刻,6
呼,6
宗,6
宙,6
宝,6
届,6
延,6
忠,6
拡,6
担,6
拝,6
枚,6
沿,6
若,6
看,6
城,6
奏,6
姿,6
宣,6
専,6
巻,6
律,6
映,6
染,6
段,6
洗,6
派,6
皇,6
泉,6
砂,6
紅,6
背,6
肺,6
革,6
蚕,6
値,6
俳,6
党,6
展,6
座,6
従,6
株,6
将,6
班,6
秘,6
純,6
納,6
胸,6
朗,6
討,6
射,6
針,6
降,6
除,6
陛,6
骨,6
域,6
密,6
捨,6
推,6
探,6
済,6
異,6
盛,6
視,6
窓,6
翌,6
脳,6
著,6
訪,6
訳,6
欲,6
郷,6
郵,6
閉,6
頂,6
就,6
善,6
尊,6
割,6
創,6
勤,6
裁,6
揮,6
敬,6
晩,6
棒,6
痛,6
筋,6
策,6
衆,6
装,6
補,6
詞,6
貴,6
裏,6
傷,6
暖,6
源,6
聖,6
盟,6
絹,6
署,6
腹,6
蒸,6
幕,6
誠,6
賃,6
疑,6
層,6
模,6
穀,6
磁,6
暮,6
誤,6
誌,6
認,6
閣,6
障,6
劇,6
権,6
潮,6
熟,6
蔵,6
諸,6
誕,6
論,6
遺,6
奮,6
憲,6
操,6
樹,6
激,6
糖,6
縦,6
鋼,6
厳,6
優,6
縮,6
覧,6
